id,price,qty,quoteQty,time,isBuyerMaker,isBestMatch
6653514963,81263.87000000,0.00007000,5.68847090,1788480001264,true,true
6653514964,81263.56000000,0.00007000,5.68844920,1788480001264,true,true
6653514965,81263.56000000,0.00007000,5.68844920,1788480001264,true,true
6653514966,81263.56000000,0.00007000,5.68844920,1788480001264,true,true
6653514967,81263.56000000,0.00007000,5.68844920,1788480001264,true,true
6653514968,81263.56000000,0.00007000,5.68844920,1788480001392,true,true
6653514969,81263.56000000,0.00320000,260.04339200,1788480001392,true,true
6653514970,81263.56000000,0.00007000,5.68844920,1788480001392,true,true
6653514971,81263.56000000,0.00007000,5.68844920,1788480001392,true,true
6653514972,81263.56000000,0.00007000,5.68844920,1788480001392,true,true
6653514973,81263.56000000,0.00007000,5.68844920,1788480001392,true,true
6653514974,81263.56000000,0.00007000,5.68844920,1788480001392,true,true
6653514975,81263.56000000,0.00007000,5.68844920,1788480001392,true,true
6653514976,81263.56000000,0.00008000,6.50108480,1788480001392,true,true
6653514977,81263.56000000,0.00007000,5.68844920,1788480001392,true,true
6653514978,81263.56000000,0.00007000,5.68844920,1788480001392,true,true
6653514979,81263.56000000,0.00007000,5.68844920,1788480001392,true,true
6653514980,81263.56000000,0.00007000,5.68844920,1788480001392,true,true
6653514981,81263.55000000,0.00007000,5.68844850,1788480001392,true,true
6653514982,81263.55000000,0.00007000,5.68844850,1788480001392,true,true
6653514983,81263.51000000,0.00007000,5.68844570,1788480001392,true,true
6653514984,81263.51000000,0.00007000,5.68844570,1788480001392,true,true
6653514985,81262.84000000,0.00007000,5.68839880,1788480001392,true,true
6653514986,81262.84000000,0.00007000,5.68839880,1788480001392,true,true
6653514987,81262.74000000,0.00007000,5.68839180,1788480001392,true,true
6653514988,81262.74000000,0.00007000,5.68839180,1788480001392,true,true
6653514989,81262.11000000,0.00007000,5.68834770,1788480001392,true,true
6653514990,81262.11000000,0.00007000,5.68834770,1788480001392,true,true
6653514991,81261.87000000,0.00007000,5.68833090,1788480001392,true,true
6653514992,81261.87000000,0.00007000,5.68833090,1788480001392,true,true
6653514993,81261.86000000,0.00007000,5.68833020,1788480001392,true,true
6653514994,81261.86000000,0.00007000,5.68833020,1788480001392,true,true
6653514995,81261.86000000,0.00007000,5.68833020,1788480001392,true,true
6653514996,81261.86000000,0.00007000,5.68833020,1788480001392,true,true
